,Name,last-zeros,inter_max,nb_peaks,inter_mean,inter_std,inter_rel,mass_center,mass_center_sqr,mass_moment,r_moment,log_total_usage,Label
0,/LHCb/Collision10/Beam3500GeV-VeloClosed-MagDown/RealData/Reco08-MINBIAS-FIRST-14-NB/Stripping12d/90000000/MINIBIAS.DST,2,11,26,2.72,2.778776709273345,1.021609084291671,60,46022866,4078546,358,9.338205742974079,0
1,/LHCb/Collision10/Beam3500GeV-VeloClosed-MagDown/RealData/Reco08/Stripping14/90000000/BHADRON.DST,64,0,1,0.0,0.0,0.0,16,116224,0,0,6.12029741895095,0
2,/LHCb/Collision10/Beam3500GeV-VeloClosed-MagDown/RealData/Reco08/Stripping14/90000000/CALIBRATION.DST,73,1,2,1.0,0.0,0.0,6,31650,474,0,6.5638555265321274,1
3,/LHCb/Collision10/Beam3500GeV-VeloClosed-MagDown/RealData/Reco08/Stripping14/90000000/DIMUON.DST,55,0,1,0.0,0.0,0.0,25,95000,0,0,5.030437921392435,1
4,/LHCb/Collision10/Beam3500GeV-VeloClosed-MagDown/RealData/Reco08/Stripping14/90000000/EW.DST,55,0,1,0.0,0.0,0.0,25,108125,0,0,5.159055299214529,1
5,/LHCb/Collision10/Beam3500GeV-VeloClosed-MagUp/RealData/Reco08-MINBIAS-FIRST-14-NB/Stripping12d/90000000/MINIBIAS.DST,10,17,5,5.25,6.796138609534093,1.2945025922922082,55,2915716,72876,79,6.825460036255307,0
6,/LHCb/Collision10/Beam3500GeV-VeloClosed-MagUp/RealData/Reco08/Stripping14/90000000/BHADRON.DST,64,0,1,0.0,0.0,0.0,16,200704,0,0,6.665683717782408,0
7,/LHCb/Collision10/Beam3500GeV-VeloClosed-MagUp/RealData/Reco08/Stripping14/90000000/CALIBRATION.DST,73,1,2,1.0,0.0,0.0,6,48485,761,0,6.9782137426306985,1
8,/LHCb/Collision10/Beam3500GeV-VeloClosed-MagUp/RealData/Reco08/Stripping14/90000000/DIMUON.DST,55,0,1,0.0,0.0,0.0,25,211250,0,0,5.82600010738045,1
9,/LHCb/Collision10/Beam3500GeV-VeloClosed-MagUp/RealData/Reco08/Stripping14/90000000/EW.DST,55,0,1,0.0,0.0,0.0,25,214375,0,0,5.840641657373398,1
10,/LHCb/Collision11/Beam1380GeV-VeloOpen-MagDown/RealData/Reco10/Stripping1Point4TeV/90000000/ALLSTREAMS.DST,50,15,7,4.5,5.024937810560445,1.11665284679121,16,636554,177994,110,7.385851078125209,1
11,/LHCb/Collision11/Beam1380GeV-VeloOpen-MagUp/RealData/Reco10/Stripping1Point4TeV/90000000/ALLSTREAMS.DST,50,19,4,8.333333333333334,7.717224601860151,0.926066952223218,20,736486,162326,118,7.224753405767971,1
12,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Merging/91000000/RAW,62,3,8,1.5714285714285714,0.9035079029052514,0.574959574576069,15,1102386,13911,2,8.456593569287309,1
13,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco09/Stripping13/90000000/CALIBRATION.DST,71,1,4,1.0,0.0,0.0,7,260875,3751,0,8.463581421967588,1
14,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco09/Stripping13/90000000/MINIBIAS.DST,54,0,1,0.0,0.0,0.0,26,530660,0,0,6.666956792429207,1
15,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco10/Stripping13b/90000000/CHARM.MDST,8,18,6,8.6,6.6211781428987395,0.7699044352207837,49,34324544,3423674,266,9.45930760329985,1
16,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco10/Stripping13b/90000000/CHARMCOMPLETEEVENT.DST,65,1,2,1.0,0.0,0.0,14,1621302,7130,0,8.884333185202735,1
17,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco10/Stripping13b/90000000/DIMUON.DST,62,3,9,1.5,0.7071067811865476,0.47140452079103173,10,11814642,760542,7,11.551434386398336,1
18,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco10/Stripping13b/90000000/LEPTONIC.MDST,28,14,19,2.7222222222222223,4.024999041484435,1.47857107646367,28,79002369,7741081,85,11.416744906496259,1
19,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco10/Stripping13b/90000000/MINIBIAS.DST,54,14,3,8.0,6.0,0.75,15,1614104,270929,51,8.573573524852344,1
20,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco11/Stripping15/90000000/MINIBIAS.DST,52,5,2,5.0,0.0,0.0,23,383549,2025,2,6.532334292222349,1
21,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco11a/Stripping16/90000000/BHADRON.DST,41,0,1,0.0,0.0,0.0,39,3093714,0,0,7.618251097876695,1
22,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco11a/Stripping16/90000000/DIMUON.DST,72,7,2,7.0,0.0,0.0,7,5709,557,5,4.634728988229636,1
23,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco11a/Stripping16/90000000/MINIBIAS.DST,54,0,1,0.0,0.0,0.0,26,490776,0,0,6.588926477533519,1
24,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco12/Stripping17/90000000/BHADRON.DST,19,2,57,1.0714285714285714,0.25753937681885636,0.2403700850309326,29,2792455907,887124326,407,14.593029217380352,0
25,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco12/Stripping17/90000000/CHARM.MDST,16,9,25,2.625,2.750946806707344,1.047979735888512,20,126511443,47696443,250,12.15712921961676,0
26,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco12/Stripping17/90000000/CHARMCOMPLETEEVENT.DST,2,11,35,2.264705882352941,2.3801732948453163,1.0509856107109188,32,469544777,183243529,681,12.502076247811116,0
27,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco12/Stripping17/90000000/DIMUON.DST,2,7,50,1.5714285714285714,1.385051387833237,0.8813963377120598,20,945910208,495516608,458,13.893273129640809,0
28,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco12/Stripping17/90000000/EW.DST,2,3,73,1.0694444444444444,0.3039731753922123,0.28423465750960114,27,2410465030,863792170,428,14.516812894658587,0
29,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco12/Stripping17/90000000/LEPTONIC.MDST,42,14,14,2.8461538461538463,3.5267364265685077,1.239123609334881,12,13216614,4831926,93,10.858017747063952,1
30,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco12/Stripping17/90000000/MINIBIAS.DST,2,23,46,1.711111111111111,3.2837798154783777,1.9190920999548962,23,306534933,153489069,532,12.572044736747092,0
31,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco12/Stripping17/90000000/RADIATIVE.DST,56,11,6,4.0,4.0,1.0,15,4388729,890894,60,9.596690616224665,1
32,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco12/Stripping17/90000000/SEMILEPTONIC.DST,24,19,10,6.111111111111111,6.67406996341387,1.0921205394677242,20,17626899,6463659,241,10.193915850655934,0
33,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco12/Stripping17/Reco12-Stripping17/90000000/EWHIGHPTMULINES.DST,41,27,7,5.833333333333333,9.494150245750744,1.6275686135572704,24,1314787,365011,225,7.3914152346753585,1
34,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco12/Stripping17/WG-CP-Selection/90000000/BUBDBSSELECTION.DST,26,44,3,22.5,21.5,0.9555555555555556,20,1948455,917055,360,7.843064016692054,1
35,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco12/Stripping17/WG-RD-Selection/90000000/BSMUMUBLIND.DST,18,24,3,12.5,11.5,0.92,47,1160445,70891,147,6.175867270105761,1
36,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco12/Stripping17/WG-RD-Selection/90000000/BSMUMUUNBLIND.DST,73,3,4,1.6666666666666667,0.9428090415820634,0.565685424949238,4,12069,2237,4,6.1779441140506,1
37,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco12/Stripping17b/90000000/BHADRON.DST,5,13,44,1.7209302325581395,1.9686565055877496,1.143949050544233,25,339942559,116917959,337,12.756396828462051,0
38,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco12/Stripping17b/90000000/CHARM.MDST,52,12,7,4.166666666666667,4.561310727801336,1.0947145746723206,12,1783493,647549,94,8.833171133022866,1
39,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco12/Stripping17b/90000000/CHARMCOMPLETEEVENT.DST,28,18,8,6.571428571428571,5.851914042361154,0.8905086586201757,30,22671162,3154842,147,9.9681041956221,1
40,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco12/Stripping17b/90000000/DIMUON.DST,3,11,61,1.2666666666666666,1.3274871834493254,1.0480161974599937,16,1301931964,557544508,195,14.865173469789287,0
41,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Reco12/Stripping17b/90000000/EW.DST,2,39,7,12.666666666666666,13.186693629901656,1.041054760255394,33,43850528,19017665,872,9.990123859195675,1
